LANGUAGE_CODE 英語-美國
HANDBOOK_HOW_TO_PLAY_PAGE3_INTERACTIVE_PARTS_TEXT 全部的互動零件都具有其獨特的功能，可以讓 你的作品移動、旋轉、行駛、飛行等等，從而 讓你的作品栩栩如生。它可以是一台燃氣引擎 或功能完善的收音機，在物品欄中以橙色線條 表示。
HANDBOOK_HOW_TO_PLAY_PAGE3_PARTS 零件
HANDBOOK_HOW_TO_PLAY_PAGE3_PARTS_TEXT 具有獨特形狀及外觀的建造零件，非常適合為 作品增添個性。零件可以是工業鋼筋支架或可 愛的鴨子雕像，在物品欄中以綠色線條表示。
HANDBOOK_HOW_TO_PLAY_PAGE3_CONSUMABLES 消耗品
HANDBOOK_HOW_TO_PLAY_PAGE3_CONSUMABLES_TEXT Coming Soon...

HANDBOOK_HOW_TO_PLAY_PAGE4_SUBTITLE • 關於廢材工程師中的工具
HANDBOOK_HOW_TO_PLAY_PAGE4_CONNECT_TOOL 連線工具
HANDBOOK_HOW_TO_PLAY_PAGE4_CONNECT_TOOL_TEXT 這是每個工程師最好的朋友！用於連 線互動零件。比如，將一台燃氣引擎 連線到軸承上，或是將推進器連線到 駕駛座上。你可以用連線工具把很多 東西連在一起。
HANDBOOK_HOW_TO_PLAY_PAGE4_LIFT 升降台
HANDBOOK_HOW_TO_PLAY_PAGE4_LIFT_TEXT 在升降台上可以建造不固定在地面上 的可移動物件，也能阻止軸承隨意轉 動從而方便建造。你可以隨時將任何 未固定的作品放上升降台。
HANDBOOK_HOW_TO_PLAY_PAGE4_SLEDGEHAMMER 大錘
HANDBOOK_HOW_TO_PLAY_PAGE4_SLEDGEHAMMER_TEXT 這把強有力的大錘可以讓你推動周圍 的非固定物體。
HANDBOOK_HOW_TO_PLAY_PAGE4_PAINT_TOOL 噴漆工具
HANDBOOK_HOW_TO_PLAY_PAGE4_PAINT_TOOL_TEXT 給任何零件件或方塊上色來個性化你 的作品，甚至讓它成為一件漂亮的藝 術品！用左鍵塗色並且用右鍵刪除。 按 Q 鍵開啟顏色選擇器。只要按住 左鍵然後拖動，就可以簡單的為更大 的面積上色。
HANDBOOK_HOW_TO_PLAY_PAGE4_WELD_TOOL 焊接工具
HANDBOOK_HOW_TO_PLAY_PAGE4_WELD_TOOL_TEXT 把你的作品焊接在一起！選擇焊接工 具，並左鍵點擊一個自由的作品，然 後左鍵點擊另一個作品的表面，把兩 個作品焊接在一起。你也可以將觸控 零件加入起重機。按住左鍵選擇第一 個零件，然後將其拖到你想焊接在一 起的零件。

HANDBOOK_HOW_TO_BUILD_A_VEHICLE_TITLE 如何建造一台車輛

HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE1_SUBTITLE1 • 把升降台放到地上，然後如圖所示用方塊在升降台上建造一個基座。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE1_SUBTITLE2 • 放置所需的軸承、輪胎、駕駛座及燃氣引擎。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE1_SUBTITLE3 • 用連線工具把所有東西連線起來。

HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE2_SUBTITLE1 • 確保全部連線完全如圖示一樣。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE2_SUBTITLE2 • 將全部軸承設定為正確的轉向並啟動引擎。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE2_SUBTITLE3 遵照這些基本步驟，你就能建造出無數台車輛。所以記得多試驗！

HANDBOOK_BEARING_TITLE 軸承

HANDBOOK_BEARING_PAGE1_SUBTITLE1 • 你連線到軸承上的任何東西都會旋轉。
HANDBOOK_BEARING_PAGE1_SUBTITLE2 • 可以通過引擎作為軸承的電源，也可用連線工具將之連線到控制器上。
HANDBOOK_BEARING_PAGE1_SUBTITLE3 • 當連線到駕駛座上時，軸承可通過鍵盤進行操控。

HANDBOOK_LIFT_TITLE 升降台

HANDBOOK_LIFT_PAGE1_SUBTITLE1 • 在升降台上建造可防止你的作品被固定在地面上。
HANDBOOK_LIFT_PAGE1_SUBTITLE2 • 在建造過程中鎖定軸承不讓其轉動，方便你的建造。
HANDBOOK_LIFT_PAGE1_SUBTITLE3 • 移去升降台將釋放你的作品，但你可以隨時重新將未固定的裝置放回升降台上。
HANDBOOK_LIFT_PAGE1_ADJUST_HEIGHT 調整高度
HANDBOOK_LIFT_PAGE1_PICKING_UP_OBJECTS 拾起鬆動物件
HANDBOOK_LIFT_PAGE1_PICKING_UP_OBJECTS_CLICK_ON_OBJECT 點擊物件
HANDBOOK_LIFT_PAGE1_PICKING_UP_OBJECTS_CLICK_ON_GROUND 點擊地面

HANDBOOK_CONNECT_TOOL_TITLE 連線工具

HANDBOOK_CONNECT_TOOL_PAGE1_SUBTITLE1 • 用於連線互動零件，只需如圖所示從一個連線點拖動至另一個連線點。
HANDBOOK_CONNECT_TOOL_PAGE1_SUBTITLE2 • 如果將引擎連線到軸承上，就可以右鍵點擊來改變其旋轉方向。

HANDBOOK_DRIVERS_SEAT_TITLE 駕駛 座

HANDBOOK_DRIVERS_SEAT_PAGE1_SUBTITLE1 • 如果用連線工具將駕駛座與軸承相連，你就可以在坐下之後
HANDBOOK_DRIVERS_SEAT_PAGE1_SUBTITLE2    直接控制你的軸承也可以對連線到駕駛座上的引擎進行操縱。
HANDBOOK_DRIVERS_SEAT_PAGE1_SUBTITLE3 • 連線在駕駛座上的按鈕與開關也可以從駕駛座上啟用。

HANDBOOK_ENGINE_TITLE 燃氣引擎

HANDBOOK_ENGINE_PAGE1_SUBTITLE1 • 最多可帶動 5 個連線後軸承旋轉。
HANDBOOK_ENGINE_PAGE1_SUBTITLE2 • 按 E 開啟點火及速度控制。
HANDBOOK_ENGINE_PAGE1_SUBTITLE3 • 可以如圖所示連線到駕駛座上。

HANDBOOK_THRUSTER_TITLE 推進器

HANDBOOK_THRUSTER_PAGE1_SUBTITLE1 推進器可以讓你的作品飛起來！
HANDBOOK_THRUSTER_PAGE1_SUBTITLE2 • 可連線任何種類的觸發器或駕駛座進行啟動。
HANDBOOK_THRUSTER_PAGE1_SUBTITLE3 • 確保要飛起來的物品沒有固定在地面上。

HANDBOOK_TRIGGERS_TITLE 觸發器

HANDBOOK_TRIGGERS_PAGE1_SUBTITLE1 • 用來啟動其它互動零件， 如引擎、推進器或控制器等。
HANDBOOK_TRIGGERS_PAGE1_SUBTITLE2 • 共有三種工作方式各不相同的觸發器。
HANDBOOK_TRIGGERS_PAGE1_SWITCH 開關
HANDBOOK_TRIGGERS_PAGE1_SWITCH_TEXT 切換已連線作品的開或關。
HANDBOOK_TRIGGERS_PAGE1_BUTTON 按鈕
HANDBOOK_TRIGGERS_PAGE1_BUTTON_TEXT 只要按住按鈕就能持續啟用連線的零件。
HANDBOOK_TRIGGERS_PAGE1_SENSOR 感測器
HANDBOOK_TRIGGERS_PAGE1_SENSOR_TEXT 有東西進入其探測範圍就啟動連線的作品。

HANDBOOK_CONTROLLER_TITLE 控制器

HANDBOOK_CONTROLLER_PAGE1_SUBTITLE1 • 使建造可變形、可移動的機器成為可能。
HANDBOOK_CONTROLLER_PAGE1_SUBTITLE2 • 為軸承設定旋轉角度和旋轉順序，並可通過觸發器啟動。
HANDBOOK_CONTROLLER_PAGE1_SUBTITLE3 讓我們建造一台自動門來學習一下基礎吧。

HANDBOOK_CONTROLLER_PAGE2_SUBTITLE1 • 按住左鍵並左右拖動來設定錶盤上的角度，如圖所示。
HANDBOOK_CONTROLLER_PAGE2_SUBTITLE2 • 使用觸發器啟用連線到控制器上的門。
HANDBOOK_CONTROLLER_PAGE2_SUBTITLE3 控制器是不可缺少的互動零件，可創造無限可能。
HANDBOOK_CONTROLLER_PAGE2_ADJUST_SPEED 調整控制器速度
HANDBOOK_CONTROLLER_PAGE2_ADJUST_START_ANGLE 調整起始位置
HANDBOOK_CONTROLLER_PAGE2_FINE_TUNE_ANGLE 按住微調角度
HANDBOOK_CONTROLLER_PAGE2_TOGGLE_REPEAT 切換序列以無限迴圈
HANDBOOK_CONTROLLER_PAGE2_TOGGLE_BACK_AND_FORTH 切換序列以重複播放

HANDBOOK_LOGIC_GATE_TITLE 邏輯閘

HANDBOOK_LOGIC_GATE_PAGE1_SUBTITLE1 • 允許你建造基於邏輯的解決方案。
HANDBOOK_LOGIC_GATE_PAGE1_SUBTITLE2 • 邏輯方塊是非常有用的方塊，允許你進行物理方法編程。
HANDBOOK_LOGIC_GATE_PAGE1_SUBTITLE3 • 遵循這些步驟學習如何開啟一扇有兩個獨立觸發器的門。

HANDBOOK_FAQ_TITLE 常見問題

HANDBOOK_FAQ_PAGE1_SUBTITLE1 • 感到迷茫和洩氣？
HANDBOOK_FAQ_PAGE1_SUBTITLE2 • 你也許能在這裡找到問題的答案。
HANDBOOK_FAQ_PAGE1_CREATION_FELL_OVER 哦不！我的作品翻了！我該如何將其扶正？
HANDBOOK_FAQ_PAGE1_CREATION_FELL_OVER_ANSWER 選擇升降台之後用左鍵點擊作品，然後指向空曠地面並再次點擊左鍵放置作品。這時你的作品現在應當出現在地面上，隨後放回升降台上。
HANDBOOK_FAQ_PAGE1_FINDING_THE_INVENTORY 我能在哪兒找到物品欄和更多建造零件？
HANDBOOK_FAQ_PAGE1_FINDING_THE_INVENTORY_ANSWER 你可以點擊“I”鍵開啟物品欄。找到所需零件後，將其從物品欄拖到下方的快捷鍵欄。
HANDBOOK_FAQ_PAGE1_ROTATE_PARTS 我該如何旋轉零件？
HANDBOOK_FAQ_PAGE1_ROTATE_PARTS_ANSWER 按“Q” 或“Shift + Q”鍵旋轉零件。
HANDBOOK_FAQ_PAGE1_PARTS_PLACE_OR_REMOVE 我該如何放置或移除零件？
HANDBOOK_FAQ_PAGE1_PARTS_PLACE_ANSWER 要放置零件，選擇一個快捷欄中的零件並點擊左鍵。
HANDBOOK_FAQ_PAGE1_PARTS_REMOVE_ANSWER 要再次拾起，對準這個零件並按住右鍵。
HANDBOOK_FAQ_PAGE1_REMOVE_CONNECTIONS 我該如何用連線工具移除連線？
HANDBOOK_FAQ_PAGE1_REMOVE_CONNECTIONS_ANSWER 只需抓住連線的一頭並拖動到另一連線點。
HANDBOOK_FAQ_PAGE1_CAMERA_ANGLE 我該如何切換視角？
HANDBOOK_FAQ_PAGE1_CAMERA_ANGLE_ANSWER 按住 ALT 鍵並用滾輪來拉近或拉遠視角。

CHALLENGE_CHOOSE_PACK 選擇挑戰包
CHALLENGE_CHOOSE_LEVEL 選擇挑戰
CHALLENGE_LEVEL_NOT_COMPLETED 等級未完成
CHALLENGE_START 遊玩
CHALLENGE_RESTART 重新開始
CHALLENGE_RESET 重設
CHALLENGE_NEXT 下一個
CHALLENGE_FINISH 完成
CHALLENGE_WIN 勝利！
CHALLENGE_NEW_RECORD 新記錄
CHALLENGE_TIME 時間
CHALLENGE_DOWNLOAD 下載挑戰
CHALLENGE_AMOUNT 合計

CHALLENGE_BUILDER 挑戰製作器
CHALLENGE_BUILDER_NEW_CHALLENGE 新挑戰
CHALLENGE_BUILDER_REMOVE 移除
CHALLENGE_BUILDER_ADD 加到挑戰包
CHALLENGE_BUILDER_BUILD 建造
CHALLENGE_BUILDER_NOT_COMPLETED 你需要先完成挑戰才能分享它

MENU_YN_MESSAGE_SHARE_CHALLENGE_PACK 上傳挑戰包到工作坊
MENU_YN_MESSAGE_UPDATE_CHALLENGE_PACK 覆寫工作坊上已存在的挑戰包
MENU_YN_MESSAGE_DELETE_CHALLENGE_PACK 永遠刪除挑戰包且無法復原
MENU_YN_MESSAGE_REMOVE_CHALLENGE 從挑戰包中移除此挑戰
MENU_YN_MESSAGE_DELETE_CHALLENGE 永遠刪除此挑戰且無法復原

CHALLENGE_BUILDER_PACKS 挑戰包
CHALLENGE_BUILDER_NEW_PACK 新挑戰包
CHALLENGE_BUILDER_SAVE_BEFORE_EXIT 退出前先存檔？
CHALLENGE_BUILDER_SAVE_REMINDER 記得隨時存儲您的挑戰進度
CHALLENGE_BUILDER_CHAT_MESSAGE 歡迎加入廢材工程師：挑戰製作器！ 查看升降台了解一些預先建造的作品。 有一些聊天指令可用來控制玩家使用哪種工具開始挑戰。 聊天室輸入 '/help' 可取得能用的指令列表。
